"PID","infoCond","optimCond","block","banditTrial","estOption","optionType","optOptimality","value","condition","minObs","maxObs"
44586,"noninfo","eq",4,52,"imgNWTK/triangle.png","target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,52,"imgNWTK/square.png","non-target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,53,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
44586,"noninfo","eq",4,53,"imgNWTK/triangle.png","target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,54,"imgNWTK/square.png","non-target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,54,"imgNWTK/triangle.png","target","NA",90,"noninfo, eq",90,110
44586,"noninfo","eq",4,55,"imgNWTK/triangle.png","target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,55,"imgNWTK/square.png","non-target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,56,"imgNWTK/triangle.png","target","NA",90,"noninfo, eq",90,110
44586,"noninfo","eq",4,56,"imgNWTK/square.png","non-target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,57,"imgNWTK/triangle.png","target","NA",90,"noninfo, eq",90,110
44586,"noninfo","eq",4,57,"imgNWTK/square.png","non-target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,58,"imgNWTK/triangle.png","target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,58,"imgNWTK/square.png","non-target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,59,"imgNWTK/square.png","non-target","NA",95,"noninfo, eq",90,110
44586,"noninfo","eq",4,59,"imgNWTK/triangle.png","target","NA",100,"noninfo, eq",90,110
44586,"noninfo","eq",4,60,"imgNWTK/square.png","non-target","NA",90,"noninfo, eq",90,110
44586,"noninfo","eq",4,60,"imgNWTK/triangle.png","target","NA",100,"noninfo, eq",90,110
48974,"info","eq",4,46,"imgNWTK/KeepItSecret.jpg","non-target","NA",106,"info, eq",90,110
48974,"info","eq",4,46,"imgNWTK/FindOutNow.jpg","target","NA",92,"info, eq",90,110
48974,"info","eq",4,47,"imgNWTK/FindOutNow.jpg","target","NA",110,"info, eq",90,110
48974,"info","eq",4,47,"imgNWTK/KeepItSecret.jpg","non-target","NA",98,"info, eq",90,110
48974,"info","eq",4,48,"imgNWTK/FindOutNow.jpg","target","NA",106,"info, eq",90,110
48974,"info","eq",4,48,"imgNWTK/KeepItSecret.jpg","non-target","NA",110,"info, eq",90,110
48974,"info","eq",4,49,"imgNWTK/FindOutNow.jpg","target","NA",92,"info, eq",90,110
48974,"info","eq",4,49,"imgNWTK/KeepItSecret.jpg","non-target","NA",108,"info, eq",90,110
48974,"info","eq",4,50,"imgNWTK/KeepItSecret.jpg","non-target","NA",96,"info, eq",90,110
48974,"info","eq",4,50,"imgNWTK/FindOutNow.jpg","target","NA",98,"info, eq",90,110
48974,"info","eq",4,51,"imgNWTK/FindOutNow.jpg","target","NA",110,"info, eq",90,110
48974,"info","eq",4,51,"imgNWTK/KeepItSecret.jpg","non-target","NA",90,"info, eq",90,110
48974,"info","eq",4,52,"imgNWTK/FindOutNow.jpg","target","NA",104,"info, eq",90,110
48974,"info","eq",4,52,"imgNWTK/KeepItSecret.jpg","non-target","NA",90,"info, eq",90,110
48974,"info","eq",4,53,"imgNWTK/FindOutNow.jpg","target","NA",105,"info, eq",90,110
48974,"info","eq",4,53,"imgNWTK/KeepItSecret.jpg","non-target","NA",108,"info, eq",90,110
48974,"info","eq",4,54,"imgNWTK/FindOutNow.jpg","target","NA",98,"info, eq",90,110
48974,"info","eq",4,54,"imgNWTK/KeepItSecret.jpg","non-target","NA",105,"info, eq",90,110
48974,"info","eq",4,55,"imgNWTK/FindOutNow.jpg","target","NA",90,"info, eq",90,110
48974,"info","eq",4,55,"imgNWTK/KeepItSecret.jpg","non-target","NA",105,"info, eq",90,110
48974,"info","eq",4,56,"imgNWTK/KeepItSecret.jpg","non-target","NA",95,"info, eq",90,110
48974,"info","eq",4,56,"imgNWTK/FindOutNow.jpg","target","NA",100,"info, eq",90,110
48974,"info","eq",4,57,"imgNWTK/FindOutNow.jpg","target","NA",110,"info, eq",90,110
48974,"info","eq",4,57,"imgNWTK/KeepItSecret.jpg","non-target","NA",105,"info, eq",90,110
48974,"info","eq",4,58,"imgNWTK/FindOutNow.jpg","target","NA",102,"info, eq",90,110
48974,"info","eq",4,58,"imgNWTK/KeepItSecret.jpg","non-target","NA",108,"info, eq",90,110
48974,"info","eq",4,59,"imgNWTK/FindOutNow.jpg","target","NA",106,"info, eq",90,110
48974,"info","eq",4,59,"imgNWTK/KeepItSecret.jpg","non-target","NA",98,"info, eq",90,110
48974,"info","eq",4,60,"imgNWTK/FindOutNow.jpg","target","NA",96,"info, eq",90,110
48974,"info","eq",4,60,"imgNWTK/KeepItSecret.jpg","non-target","NA",108,"info, eq",90,110
58899,"info","eq",4,46,"imgNWTK/KeepItSecret.jpg","non-target","NA",103,"info, eq",90,110
58899,"info","eq",4,46,"imgNWTK/FindOutNow.jpg","target","NA",98,"info, eq",90,110
58899,"info","eq",4,47,"imgNWTK/KeepItSecret.jpg","non-target","NA",98,"info, eq",90,110
58899,"info","eq",4,47,"imgNWTK/FindOutNow.jpg","target","NA",103,"info, eq",90,110
58899,"info","eq",4,48,"imgNWTK/KeepItSecret.jpg","non-target","NA",108,"info, eq",90,110
58899,"info","eq",4,48,"imgNWTK/FindOutNow.jpg","target","NA",99,"info, eq",90,110
58899,"info","eq",4,49,"imgNWTK/KeepItSecret.jpg","non-target","NA",99,"info, eq",90,110
58899,"info","eq",4,49,"imgNWTK/FindOutNow.jpg","target","NA",100,"info, eq",90,110
58899,"info","eq",4,50,"imgNWTK/KeepItSecret.jpg","non-target","NA",108,"info, eq",90,110
58899,"info","eq",4,50,"imgNWTK/FindOutNow.jpg","target","NA",98,"info, eq",90,110
58899,"info","eq",4,51,"imgNWTK/KeepItSecret.jpg","non-target","NA",102,"info, eq",90,110
58899,"info","eq",4,51,"imgNWTK/FindOutNow.jpg","target","NA",103,"info, eq",90,110
58899,"info","eq",4,52,"imgNWTK/KeepItSecret.jpg","non-target","NA",98,"info, eq",90,110
58899,"info","eq",4,52,"imgNWTK/FindOutNow.jpg","target","NA",99,"info, eq",90,110
58899,"info","eq",4,53,"imgNWTK/KeepItSecret.jpg","non-target","NA",99,"info, eq",90,110
58899,"info","eq",4,53,"imgNWTK/FindOutNow.jpg","target","NA",90,"info, eq",90,110
58899,"info","eq",4,54,"imgNWTK/FindOutNow.jpg","target","NA",108,"info, eq",90,110
58899,"info","eq",4,54,"imgNWTK/KeepItSecret.jpg","non-target","NA",103,"info, eq",90,110
58899,"info","eq",4,55,"imgNWTK/FindOutNow.jpg","target","NA",90,"info, eq",90,110
58899,"info","eq",4,55,"imgNWTK/KeepItSecret.jpg","non-target","NA",108,"info, eq",90,110
58899,"info","eq",4,56,"imgNWTK/KeepItSecret.jpg","non-target","NA",103,"info, eq",90,110
58899,"info","eq",4,56,"imgNWTK/FindOutNow.jpg","target","NA",101,"info, eq",90,110
58899,"info","eq",4,57,"imgNWTK/KeepItSecret.jpg","non-target","NA",97,"info, eq",90,110
58899,"info","eq",4,57,"imgNWTK/FindOutNow.jpg","target","NA",98,"info, eq",90,110
58899,"info","eq",4,58,"imgNWTK/FindOutNow.jpg","target","NA",97,"info, eq",90,110
58899,"info","eq",4,58,"imgNWTK/KeepItSecret.jpg","non-target","NA",99,"info, eq",90,110
58899,"info","eq",4,59,"imgNWTK/KeepItSecret.jpg","non-target","NA",109,"info, eq",90,110
58899,"info","eq",4,59,"imgNWTK/FindOutNow.jpg","target","NA",102,"info, eq",90,110
58899,"info","eq",4,60,"imgNWTK/FindOutNow.jpg","target","NA",102,"info, eq",90,110
58899,"info","eq",4,60,"imgNWTK/KeepItSecret.jpg","non-target","NA",97,"info, eq",90,110
10093,"info","sub",4,46,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10093,"info","sub",4,47,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10093,"info","sub",4,48,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10093,"info","sub",4,49,"imgNWTK/FindOutNow.jpg","target","sub",200,"info, sub",70,130
10093,"info","sub",4,50,"imgNWTK/KeepItSecret.jpg","non-target","optim",100,"info, sub",70,130
10093,"info","sub",4,51,"imgNWTK/KeepItSecret.jpg","non-target","optim",200,"info, sub",70,130
10093,"info","sub",4,52,"imgNWTK/KeepItSecret.jpg","non-target","optim",117,"info, sub",70,130
10093,"info","sub",4,53,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10093,"info","sub",4,54,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10093,"info","sub",4,55,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10093,"info","sub",4,56,"imgNWTK/KeepItSecret.jpg","non-target","optim",200,"info, sub",70,130
10093,"info","sub",4,57,"imgNWTK/KeepItSecret.jpg","non-target","optim",200,"info, sub",70,130
10093,"info","sub",4,58,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10093,"info","sub",4,59,"imgNWTK/KeepItSecret.jpg","non-target","optim",200,"info, sub",70,130
10093,"info","sub",4,60,"imgNWTK/KeepItSecret.jpg","non-target","optim",120,"info, sub",70,130
10809,"info","sub",4,46,"imgNWTK/KeepItSecret.jpg","non-target","optim",115,"info, sub",70,130
10809,"info","sub",4,46,"imgNWTK/FindOutNow.jpg","target","sub",78,"info, sub",70,130
10809,"info","sub",4,47,"imgNWTK/KeepItSecret.jpg","non-target","optim",112,"info, sub",70,130
10809,"info","sub",4,47,"imgNWTK/FindOutNow.jpg","target","sub",82,"info, sub",70,130
10809,"info","sub",4,48,"imgNWTK/KeepItSecret.jpg","non-target","optim",112,"info, sub",70,130
10809,"info","sub",4,48,"imgNWTK/FindOutNow.jpg","target","sub",82,"info, sub",70,130
10809,"info","sub",4,49,"imgNWTK/KeepItSecret.jpg","non-target","optim",125,"info, sub",70,130
10809,"info","sub",4,49,"imgNWTK/FindOutNow.jpg","target","sub",72,"info, sub",70,130
10809,"info","sub",4,50,"imgNWTK/FindOutNow.jpg","target","sub",115,"info, sub",70,130
10809,"info","sub",4,50,"imgNWTK/KeepItSecret.jpg","non-target","optim",84,"info, sub",70,130
10809,"info","sub",4,51,"imgNWTK/FindOutNow.jpg","target","sub",84,"info, sub",70,130
10809,"info","sub",4,51,"imgNWTK/KeepItSecret.jpg","non-target","optim",112,"info, sub",70,130
10809,"info","sub",4,52,"imgNWTK/FindOutNow.jpg","target","sub",84,"info, sub",70,130
10809,"info","sub",4,52,"imgNWTK/KeepItSecret.jpg","non-target","optim",115,"info, sub",70,130
10809,"info","sub",4,53,"imgNWTK/KeepItSecret.jpg","non-target","optim",117,"info, sub",70,130
10809,"info","sub",4,53,"imgNWTK/FindOutNow.jpg","target","sub",87,"info, sub",70,130
10809,"info","sub",4,54,"imgNWTK/KeepItSecret.jpg","non-target","optim",125,"info, sub",70,130
10809,"info","sub",4,54,"imgNWTK/FindOutNow.jpg","target","sub",84,"info, sub",70,130
10809,"info","sub",4,55,"imgNWTK/KeepItSecret.jpg","non-target","optim",125,"info, sub",70,130
10809,"info","sub",4,55,"imgNWTK/FindOutNow.jpg","target","sub",72,"info, sub",70,130
10809,"info","sub",4,56,"imgNWTK/FindOutNow.jpg","target","sub",87,"info, sub",70,130
10809,"info","sub",4,56,"imgNWTK/KeepItSecret.jpg","non-target","optim",117,"info, sub",70,130
10809,"info","sub",4,57,"imgNWTK/KeepItSecret.jpg","non-target","optim",115,"info, sub",70,130
